"","HNSCC10_p14_HNSCC10_P14_B12","HNSCC6_p15_HNSCC6_P15_LN_C05","HNSCC5_p13_P13_F09","HNSCC10_p4_HNSCC10_P4_B11","HN25_P23_H02_S278_comb","HN28_P14_C01_S121_comb","HN25_P25_F03_S351_comb","HNSCC18_P13_C04_S316_comb","HN28_P15_D03_S327_comb","HNSCC18_P7_F10_S166_comb","HNSCC25_P20_D06_S330_comb","HNSCC18_P13_C01_S313_comb","HN25_P23_C01_S217_comb","HN28_P15_B10_S310_comb","HNSCC6_p8_HNSCC6_P8_A10","HNSCC25_P20_F06_S354_comb","HN28_P14_A04_S100_comb","HNSCC10_p14_HNSCC10_P14_G09","HNSCC17_P13_H06_S378_comb","HNSCC25_P20_B07_S307_comb","HNSCC25_P3_C11_S131_comb","HNSCC25_P4_A03_S195_comb","HNSCC16_P5_HNSCC16_P5_E05","HNSCC13_p19_HNSCC13_P19_C08","HNSCC_combo1_HNSCC_ComboP1_H01","HNSCC13_p19_HNSCC13_P19_B08","HNSCC16_P5_HNSCC16_P5_C01","HNSCC16_P7_HNSCC16_P7_B04","HNSCC16_P7_HNSCC16_P7_H10","HNSCC13_p19_HNSCC13_P19_C12","HNSCC13_p19_HNSCC13_P19_B11","HNSCC25_P2_B10_S22_comb","HNSCC13_p19_HNSCC13_P19_H10","HNSCC13_p19_HNSCC13_P19_C11","HNSCC13_p19_HNSCC13_P19_A06","HNSCC13_p19_HNSCC13_P19_D03","HNSCC13_p19_HNSCC13_P19_B07","HNSCC16_P4_HNSCC16_P4_E11","HNSCC13_p19_HNSCC13_P19_A05","HNSCC16_P5_HNSCC16_P5_D09","HNSCC5_p15_HNSCC5_P15_B11","HNSCC5_p15_HNSCC5_P15_C09","HNSCC5_p13_P13_A03","HNSCC5_p15_HNSCC5_P15_C06","HNSCC5_p15_HNSCC5_P15_G04","HNSCC5_p15_HNSCC5_P15_A05","HNSCC5_p15_HNSCC5_P15_E02","HNSCC5_p5_P5_F06","HNSCC5_p15_HNSCC5_P15_D07","HNSCC5_p15_HNSCC5_P15_B01","HNSCC5_p15_HNSCC5_P15_E01","HNSCC5_p13_P13_H04","HNSCC16_P2_G01_S73_comb","HNSCC13_p19_HNSCC13_P19_E12","HNSCC6_p15_HNSCC6_P15_LN_C12","HNSCC16_P2_G02_S74_comb","HNSCC6_p15_HNSCC6_P15_LN_E01","HNSCC5_p15_HNSCC5_P15_F05","HNSCC16_P2_C06_S30_comb","HNSCC18_P7_A10_S106_comb","HNSCC5_p7_HNSCC5_P7_E06","HNSCC5_p3_HNSCC5_P3_E10","HNSCC5_p7_HNSCC5_P7_D08","HNSCC25_P20_B05_S305_comb","HNSCC6_p8_HNSCC6_P8_H11","HNSCC6_p15_HNSCC6_P15_LN_C11","HNSCC6_p15_HNSCC6_P15_LN_A01","HNSCC24_P13_R_LN_B05_S113_comb","HNSCC5_p5_P5_F04","HN25_P5_C12_S36_comb","HNSCC6_p15_HNSCC6_P15_LN_B07","HNSCC5_p15_HNSCC5_P15_G07","HNSCC6_p15_HNSCC6_P15_LN_D08","HN25_P5_G10_S82_comb","HNSCC5_p7_HNSCC5_P7_D01","HNSCC6_p15_HNSCC6_P15_LN_F03","HNSCC5_p7_HNSCC5_P7_A10","HNSCC5_p15_HNSCC5_P15_A08","HNSCC24_P13_R_LN_F08_S164_comb","HNSCC5_p7_HNSCC5_P7_C06","HNSCC6_p15_HNSCC6_P15_LN_A03","HNSCC5_p11_p12_hnscc5_p11_p12_H11","HN28_P3P4_A02_S2_comb","HNSCC6_p15_HNSCC6_P15_LN_B08","HNSCC5_p5_P5_D09","HNSCC5_p3_HNSCC5_P3_C06","HNSCC5_p5_P5_B08","HNSCC5_p5_P5_C07","HNSCC5_p11_p12_hnscc5_p11_p12_E07","HNSCC24_P3_H01_S85_comb","HNSCC5_p5_P5_G04","HNSCC5_p11_p12_hnscc5_p11_p12_A02","HNSCC5_p11_p12_hnscc5_p11_p12_A04","HNSCC5_p11_p12_hnscc5_p11_p12_E12","HNSCC16_P9_G08_S272_comb","HNSCC5_p3_HNSCC5_P3_C05","HNSCC5_p5_P5_A06","HNSCC18_P13_A09_S297_comb","HNSCC6_p14_hnscc6_p14_E12","HNSCC5_p5_P5_C03","HNSCC20_P12_C03_S315_comb","HNSCC20_P3_B01_S13_comb","HNSCC20_P13_A10_S202_comb","HNSCC20_P13_C10_S226_comb","HNSCC6_p15_HNSCC6_P15_LN_H08","HNSCC20_P3_B02_S14_comb","HNSCC20_P3_H01_S85_comb","HNSCC20_P3_C01_S25_comb","HNSCC6_p15_HNSCC6_P15_LN_H01","HNSCC20_P12_D03_S327_comb","HNSCC20_P2_F12_S168_comb","HNSCC20_P13_H10_S286_comb","HNSCC20_P2_D06_S138_comb","HNSCC20_P13_A07_S199_comb","HNSCC6_p15_HNSCC6_P15_LN_H11","HNSCC20_P3_H09_S93_comb","HNSCC20_P3_E09_S57_comb","HNSCC20_P12_D12_S336_comb","HNSCC6_p15_HNSCC6_P15_LN_B01","HNSCC20_P13_A06_S198_comb","HNSCC18_P13_A05_S293_comb","HNSCC13_p1_HNSCC13_P1_G10","HNSCC16_P9_G11_S275_comb","HNSCC18_P3_H04_S376_comb","HNSCC24_P3_H06_S90_comb","HNSCC18_P7_G09_S177_comb","HN25_P5_F06_S66_comb","HNSCC17_P3_A02_S194_comb","HNSCC5_p3_HNSCC5_P3_F08","HNSCC_combo1_HNSCC_ComboP1_C02","HNSCC16_P7_HNSCC16_P7_G09","HNSCC24_P3_D10_S46_comb","HN25_P5_G12_S84_comb","HNSCC25_P4_D09_S237_comb","HNSCC_combo1_HNSCC_ComboP1_A07","HNSCC17_P3_F02_S254_comb","HNSCC24_P3_B01_S13_comb","HNSCC16_P4_HNSCC16_P4_H07","HNSCC16_P9_E08_S248_comb","HNSCC16_P7_HNSCC16_P7_H02","HN28_P3P4_B10_S22_comb","HN25_P5_B06_S18_comb","HN25_P5_A09_S9_comb","HNSCC28_P2_A12_S12_comb","HN28_P5_C01_S217_comb","HNSCC16_P4_HNSCC16_P4_B11","HN28_P3P4_D10_S46_comb","HN28_P3P4_E02_S50_comb","HN25_P5_H11_S95_comb","HNSCC25_P4_E02_S242_comb","HNSCC25_P3_A04_S100_comb","HN28_P3P4_A03_S3_comb","HN28_P3P4_E12_S60_comb","HNSCC25_P3_F04_S160_comb","HNSCC25_P3_B12_S120_comb","HNSCC25_P3_G06_S174_comb","HNSCC28_P2_G07_S79_comb","HNSCC28_P2_D02_S38_comb","HNSCC18_P7_G10_S178_comb","HNSCC16_P9_C02_S218_comb","HNSCC25_P12_B12_S120_comb","HNSCC12_p20_HNSCC12_P20_A08","HNSCC5_p11_p12_hnscc5_p11_p12_D05","HNSCC_17_P9_A06_S6_comb","HNSCC16_P9_G03_S267_comb","HN23_P11_F01_S61_comb","HNSCC_17_P9_D02_S38_comb","HNSCC16_P12_HNSCC16_P12_A03","HNSCC_17_P9_D11_S47_comb","HNSCC16_P11_HNSCC16_P11_E09","HNSCC16_P14_HNSCC16_P14_B03","HNSCC16_P11_HNSCC16_P11_D07","HNSCC12_p20_HNSCC12_P20_G01","HNSCC5_p11_p12_hnscc5_p11_p12_G11","HNSCC12_p19_HNSCC12_P19_E11","HNSCC18_P14_HNSCC18_P14_E10","HNSCC13_p19_HNSCC13_P19_H09","HNSCC18_P13_E02_S338_comb","HNSCC18_P15_G03_S75_comb"
"ALDOC",5.9078751495898,0,6.69024168452715,0,5.40720573609803,6.21397744276882,0,2.68786195547214,5.98357630390782,0,0,0,2.35991349646371,0,0,0,0,0,6.48828107082386,0,0,4.8386675036133,0,0,0,0,0,0,6.01716420043489,5.94790604968372,6.38674837218136,0,0,0,0,6.23648264574412,0,0,0,0,0,0,0,4.78570393701453,5.15069067779709,0,0,0,0,0,4.7995584647145,0,0,0,0,0,0,0,0,0,4.54179659750547,0,5.34988387822149,0,5.39638664647894,0,0,0,0,0,0,4.60966005394685,0,0,0,0,0,0,0,0,0,0,4.35275316854704,0,0,0,0,0,0,0,0,0,5.17612735911377,0,5.45727574541392,0,0,0,0,0,5.49266477547437,5.00941936670995,6.13008442315651,4.52590961963064,0,6.20049826301947,5.55879243061737,5.77507929746599,3.73287233391119,6.46480925695166,6.07026050535817,6.04435687116227,0,5.32645476338108,3.46162757857371,3.95968734979328,3.63521878847669,6.56693564880617,3.92655358774597,3.74667076264638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42493924085439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98860897569744,0,0
"MAOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84861425473824,0,0,0,0,3.0704029566,0,0,0,0,5.78056522114134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70280252730937,0,0,0,0,0,0,0,3.9223900999042,0,0,0,0,0,0,2.72724032369588,0,2.80636117818439,3.97145278026206,0,0,0,3.8910384342103,0,0,3.93788791751584,3.92908305894727,3.70178609477132,0,0,0,3.91724334544041,0,0,3.78920344471853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83331741604562,3.82446995242225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASS1",0,0,0,0,0,0,0,0,5.52686038932118,0,2.96477487528408,0,6.37830402908448,0,0,0,3.21686290537043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82180234564391,0,5.71318028118012,0,5.28952871804974,0,0,0,0,3.42422769020252,0,5.4877763074412,0,0,0,4.26705246386569,0,5.48554745666787,5.13106288156296,0,6.272938075032,3.93144846785336,0,0,2.68652059356651,0,3.02967327605956,4.73800337885838,5.32674415098005,5.34106447214518,4.96402385242278,0,0,0,0,0,0,0,5.10110930636048,4.91067346227151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78002135032684,4.29028510253952,3.84244000297078,3.03970405487249,0,3.73548314866306,3.33144853847292,3.34388888192502,3.37283312775005,0,4.11234132808519,3.44461767914075,0,5.21796811551806,3.60165960084157,0,0,5.22807033377478,2.34755625335965,0,0,0,0,0,0,0,0,0,0,2.71200164492929,0,0,0,0,0,0,0,0,0,0,4.29479997281736,0,5.86467832133226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHCYL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68372389069942,0,0,0,4.94876682508677,0,0,4.73927452996087,5.14770032279159,0,4.12791301086595,2.30558643895093,4.3868023508383,0,0,0,6.36774708958855,0,0,0,0,0,0,0,2.59224174793861,3.25505823895937,3.7193778680863,3.3642071375407,0,0,3.67427067997666,0,0,0,0,0,0,4.57880633748088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42458621844959,0,0,0,0,4.72513565393256,0,0,0,0,3.44327909584113,2.93007765151837,0,4.75108313980296,0,0,0,0,3.40221178008273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18559430257053,0,0,3.16586652979439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GSTP1",6.66241157922323,4.71360416049622,6.75126999039043,6.29746420035331,6.91084486688575,6.13679787155942,8.02580533648369,5.95726961887682,7.07682825674138,7.08506929968066,5.7193179635708,6.88685402484135,7.05412780746591,0,6.24000930760785,0,6.6720164021996,0,7.93521011497219,7.04839968489977,7.5804774132366,8.31537759823171,7.60268924321975,8.25055981038173,8.25660431956987,7.07473299482292,6.82226918110593,7.45705132443526,7.60101821111379,6.95769279611848,6.71462978599521,7.20339294058623,7.49613504082508,7.86538595340985,7.83485006223163,5.4503652163941,7.15125891665531,7.94119032551086,5.44078831422756,7.64947314816979,5.40410473004892,6.40968349073757,5.59412900721124,5.81567029940359,6.02792984001551,6.15636798511106,5.54631077122505,5.94634525956489,5.72602535734296,4.42181056099957,5.43610662182124,6.56054793145852,5.80741321796258,4.57426228131045,4.36141184395684,6.62391154913765,3.98821428736064,5.96443282013949,6.41355215110814,5.30278535644781,6.2280177775727,6.70243654792235,7.06369739947954,6.78439525543795,6.12351147172997,6.34529033893325,6.13573791072071,6.76331684409107,6.41671725681283,6.41826458895587,5.836660923898,5.72638209761656,6.3098644707285,6.52860158017632,6.65981739641969,6.25792145369734,6.10682796096649,5.8598442421002,6.2297108509086,5.85401413318024,6.78859639388517,5.44482111212968,6.65343678214952,5.99952299492314,0,5.41045057559377,5.85387192473496,4.8368853025866,4.2754012815335,6.91546058962546,4.41574089076647,6.08363160012406,5.30264051604788,5.34012451026635,4.95223219965124,5.65646150055782,5.39032595463271,6.51624077929063,6.28710523648283,6.86530676407785,8.3289235376054,8.42699848885899,8.5467883528612,8.56685496351341,7.22830195568242,8.25076824315604,8.54894086005403,8.71264786408955,7.33110603959879,8.55206545292287,8.60212609968599,8.23027186296204,7.92032862606772,8.45922286399344,7.06670084945245,8.43991626005848,8.47887598020362,8.10143345457355,7.68072680389683,8.54789932532374,5.89210788729991,0,5.05616420871046,0,0,5.97180757852806,5.96663119358359,0,0,6.21059030900333,0,0,0,0,0,5.52377297014523,0,0,0,5.34988387822149,5.80912172648034,5.46519189087046,0,0,4.59673837282713,4.95488604334283,4.34408670274457,5.83338855749618,0,5.71724840107079,5.4209034070247,6.5813938778181,0,6.19435745456048,7.53925069667636,0,0,7.36666122851268,0,0,5.03277023740601,0,6.22237383802599,0,0,6.98404525126035,0,5.50552887874804,5.20975202456504,0,0,0,7.59064360609572,0,0,6.18546266277389,5.36122875644337,0,0
"PGM1",0,0,0,0,0,5.71018241358929,0,0,5.62405812613552,0,0,0,0,0,0,0,0,0,0,0,0,4.93106000272501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97704444867828,0,0,3.70398812820895,0,0,3.41148095991756,0,0,0,0,5.38253150678076,0,0,5.17736558969261,4.95849754469396,0,5.0806264612561,0,0,3.94505369878481,4.26197693942504,4.24923628799464,5.06620200940862,2.31253196560371,0,5.24891406295404,4.77593813145003,4.95466490576289,5.91419458755158,0,4.86144632885759,5.38245932471795,5.06224615299088,4.27610316435239,0,0,0,0,0,0,0,0,0,2.59305368427783,4.70296241565786,0,4.6930624215351,0,0,0,0,0,0,0,0,0,0,0,3.69339333960353,3.48459220121959,4.63591465326902,0,4.26830138058287,3.76864578109327,0,0,3.46224976412052,4.67504324034705,0,0,3.90718329479973,0,2.85821763805886,2.77818448182035,0,3.83424821124663,0,4.46358699439436,0,5.22065765680449,5.41470430412004,0,0,0,0,0,0,0,0,0,5.59047539817536,0,0,0,6.11580662609537,0,5.46655899178271,0,5.67040006175041,0,5.20371518228929,7.38081158469442,7.34295857943896,0,5.78989654931901,5.36332373467582,0,0,5.77636179427309,6.35606209954258,6.44315784321483,7.07696793969116,0,0,0,0,6.70867352091933,4.29565598968412,0,0,0,0,0,0,0,0,0,6.06969445307481,0,0,0,0,0,0,0,0,0
"PECR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85874311386615,0,0,0,0,0,0,0,3.51931016001816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42373059332085,4.46175079107977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65556928161222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4060719731991,3.6635322942868,0,0,0,0,2.93602404756053,0,0,0,0,2.94073203813207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82641607619059,0,0,6.01440156403773,0,0,5.5000677423802,0,0
"AUH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43164023687363,0,4.7682549509073,5.76517406224268,0,0,0,0,0,0,5.39588164392935,0,3.6694155048248,0,0,5.91738944793827,2.99577961145154,0,0,0,2.15524100094629,3.44363609050891,4.20233397744774,0,4.90801245244385,0,0,0,0,0,0,0,0,0,0,0,4.33083966932007,0,3.03355015099747,0,4.9181367269385,0,0,0,0,2.9465559637844,3.62783731038761,0,0,0,0,0,0,0,0,3.49651697625588,0,0,0,3.48397304246229,0,0,4.02998461719953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49069091092285,4.05037846466621,0,0,0,0,0,0,0,0,3.65917966102242,0,0,0,2.96731103244626,4.05230251592864,0,3.44301133115658,0,0,5.23736894003246,0,4.50260867414452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66654269003356,0,0,5.33527951088135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75376901697238,4.21961880853537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0655903784663,5.96684393361465
"ALAS1",0,0,0,0,4.02910012922414,0,2.87247729144699,0,0,0,0,0,0,5.89111335431841,0,0,5.81481620140006,0,0,0,0,0,6.39730230545775,0,0,0,5.54006796296656,0,0,0,6.03706453713834,0,6.4475870754214,0,0,0,6.55731878037754,6.19294567844629,2.34276673005585,0,0,0,0,0,0,0,3.60631938424792,4.12489642345337,0,4.43524327497283,3.93927281201471,0,0,3.3638435509389,4.69598819362181,5.0148559515132,0,3.39319358319943,0,5.6861186079409,0,0,4.08054483727856,3.98902300129418,0,0,2.14359506500047,0,4.27446535251758,5.48216789026838,0,0,3.23042042845573,0,0,0,4.93984200650379,4.58569482674433,4.93475049119587,3.47600501659469,5.25312399054238,5.82783913335638,4.08142320675344,0,0,0,0,0,0,0,0,4.52058362533618,0,0,5.25784106620337,4.6044477036575,4.96321344053894,0,3.72258574533922,4.93600506853499,3.81965793620914,4.09418803677957,0,4.71585133138606,3.58826041719309,0,4.69741333418613,3.07364405843279,4.01098447986907,0,5.11148868271991,0,0,3.48432685762218,2.73372919848035,3.66583519140259,4.32417040425971,3.95278094738906,2.91505802897683,5.35002843201882,5.47030018127034,0,5.15914879801477,0,5.31321150970252,6.65084233304917,0,0,0,0,6.06233517769085,4.87093367617881,0,5.53432627565627,0,0,6.23486030905216,6.24311259260438,0,0,0,0,5.27314658205025,0,0,0,0,0,0,0,0,0,6.47907595641309,3.9777734636979,0,0,0,0,0,0,0,0,5.48784820288225,0,5.3081438200197,0,0,0,3.40887318581024,0,0,5.97393468558912,0,5.34301658401594,3.53307370779868,0,6.09013897768216,0,0
"SLC25A15",0,3.17760964606285,0,0,0,0,0,0,0,4.57706465611208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87954030974255,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82886381696707,0,0,0,3.70475016556068,0,0,3.9007957174771,0,0,0,0,2.95175763137282,4.63983297443084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24374257335111,3.03156257837983,3.90415407136256,0,2.76887346446115,0,0,0,2.59595129465377,0,0,0,0,0,3.37655050251571,2.36649417244637,0,0,0,0,0,0,4.94603825740695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56787692096073,0,0,0,0,0,0,4.63591465326902,2.72261160432988,0,0,2.24601363683628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
