"","A7_tophat","B7_tophat","C7_tophat","D7_tophat","E7_tophat","G7_tophat","H7_tophat","A8_tophat","B8_tophat","C8_tophat","D8_tophat","E8_tophat","F8_tophat","G8_tophat","H8_tophat","A9_tophat","B9_tophat","C9_tophat","D9_tophat","E9_tophat","F9_tophat","G9_tophat","H9_tophat","A10_tophat","B10_tophat","C10_tophat","D10_tophat","E10_tophat","F10_tophat","G10_tophat","H10_tophat","A11_tophat","B11_tophat","C11_tophat","D11_tophat","E11_tophat","F11_tophat","H11_tophat","A12_tophat","B12_tophat","C12_tophat","D12_tophat","E12_tophat","F12_tophat","G12_tophat","H12_tophat","B1_tophat","C1_tophat","D1_tophat","F1_tophat","A2_tophat","C2_tophat","D2_tophat","E2_tophat","F2_tophat","G2_tophat","H2_tophat","C3_tophat","E3_tophat","F3_tophat","G3_tophat","H3_tophat","B4_tophat","D4_tophat","F4_tophat","C5_tophat","D5_tophat","E5_tophat","F5_tophat","G5_tophat","A6_tophat","B6_tophat","D6_tophat","G6_tophat","A1S1","A2S9","A3S17","A4S25","A5S33","A6S41","B1S2","B2S10","B3S18","B4S26","B5S34","B6S42","C1S3","C2S11","C3S19","C4S27","C5S35","C6S43","D1S4","D2S12","D3S20","D4S28","D5S36","D6S44","E1S5","E2S13","E3S21","E4S29","E5S37","E6S45","F1S6","F2S14","F3S22","F4S30","F5S38","F6S46","G1S7","G2S15","G3S23","G4S31","G5S39","G6S47","H1S8","H2S16","H3S24","H4S32","H5S40","H6S48","A7S49","A8S57","A10S73","A11S81","A12S89","B7S50","B8S58","B9S66","B10S74","B11S82","B12S90","C8S59","C9S67","C10S75","C11S83","C12S91","D7S52","D8S60","D10S76","D11S84","D12S92","E7S53","E9S69","E11S85","E12S93","F7S54","F8S62","F9S70","F10S78","F11S86","F12S94","G7S55","G9S71","G10S79","G11S87","G12S95","H7S56","H8S64","H9S72","H11S88"
"DPM1",12.7449083524964,83.4252227671065,36.3351809896507,3.34053081653341,38.9590938416448,0,96.190069055045,65.9690730388686,3.52942355298055,53.7402401006447,133.009402347101,21.6527195565554,82.6673254390503,2.29369765725559,12.1619500347445,48.0608909077695,140.239991477938,116.458258693575,63.5473387072577,211.33963093481,0,56.7353203256055,105.673354844,76.8442621105494,0,298.760656734636,44.936690942965,7.84999244979004,92.5512244804652,10.7104820587153,122.990603815426,110.446019940734,178.495189196233,119.065421820142,66.4575137945031,63.0755432411911,29.4400267226468,66.9896916802682,0,181.28325537002,45.8014718809216,11.1719817203554,170.493359632025,1.33608303586653,121.226600039931,184.746041279147,235.380619614696,199.35112423745,128.195924308218,29.3615091274097,52.575475918356,23.4653717786202,86.048909640922,76.503022784704,43.2223704186209,257.560407889468,106.05294625764,54.5494114692062,89.5062115300981,207.394780006676,3.25491837859262,114.320937401806,124.419043452273,170.67470100217,106.602789674189,53.2439239177937,135.025969820591,765.398014976465,157.073158036427,24.6785677193323,121.072519376204,37.0057110534073,572.435238144965,0,116.10077591679,51.1301751788666,171.589516718608,48.1121122611112,58.2845442244622,53.7911809660421,8.98262008275785,106.744087396683,45.594607580475,30.7840307409555,89.7063117584373,75.2968127801045,32.3383815450057,78.6039881851879,105.237182793995,9.91062397125989,14.42418900031,26.4211245874259,81.6283046170151,157.269612507096,136.362154011318,16.9452784209137,265.706894878725,74.2828042801629,89.6486076184885,151.161742368811,74.2828844305337,21.8932957931124,56.2016892938374,51.1517604747947,248.129375398936,8.19256132861036,189.008806357371,102.865361338624,151.413907077672,294.26996438152,6.98915238748995,26.3178164807241,23.3024063795863,148.729907971651,66.7356149379933,55.7389753889868,188.782018866223,180.951342496414,120.538147753056,112.976962407618,33.9469769484452,97.5091260044065,32.1375518069387,132.178773033472,12.5098837985667,11.7056205918535,0,14.9525656493949,6.03486646362434,153.342080303312,83.6157806402576,8.63964148794814,626.737650130708,155.752280079878,45.4393242966883,96.538379094067,10.8424689166849,129.680683539338,15.2835886300157,2.96495738569337,34.0425071860981,0,68.9178132137639,16.8869252104283,18.871372114349,118.951910558114,184.265777248252,0.757207786715381,294.142334269347,9.46849886899119,0,117.501395618011,0,128.530524178031,91.0416671642347,206.1746695744,135.624228857588,67.9470386335318,40.9698198628849,5.07220308138096,29.8317145252885,0
"GCLC",62.640369053486,0,0,4.09729150204184,0,0,0,0,0,14.357400787848,0,0,0.100769929441413,0.109043013600674,1.30091046543217,1.17505434396471,0.86961489508742,12.079543531148,0,0,0.755074830184671,0.0974896133744561,2.02638259149549,0,0,4.23448346427181,2.82745928478422,0.995175431553988,0,30.3810282698757,0,3.8809033750733,0,0.958616586201013,5.29665521143712,0,0.583161215720632,6.47214903210467,1.58303425838819,3.30303184877673,4.69863127415554,6.98625846788946,23.0945560480446,0,0.245240242672018,0,9.9423869137145,3.15906897940843,23.5072386651166,0,0,0,0,35.7388423906045,0,0,26.146936979348,10.2604238185027,34.2732971769127,0,2.78531476991229,5.47633600733063,1.06896060275767,0,0,0,0,0,24.8237299141531,62.8513850990744,9.62993072952236,1.66666890208633,0,0,7.67707073905645,0,0,0,0,7.67174234030637,0.183015520330324,0,26.8095434350223,10.4771952132679,34.8817213068578,0.195252603365637,33.8752739095009,0,0,0,0,5.20370815220128,26.9751242824866,0,4.13145788253416,0,0.121071358587643,0,0.608845615905176,0,0.145127204005921,12.7299468744598,0,6.06363098216214,20.367433090908,0,0,0,0,0,0,0,3.32340830676601,0.131751437511905,6.82115315864506,0,0,7.0584420797837,8.81602537367416,2.55759794035277,0,19.6255285825657,22.3781865530296,2.86630157924202,0,0,0.208944227947353,0,0,0,0,0,0,6.91339077752691,0,0,0,0,81.5427630708058,0,0,0,0,0,0,0,0.227533647242303,0,0,0,0,5.49447390128056,1.11436582203294,0,0,0.334145459616057,21.5891038806354,0,0.124322325654104,112.368407166871,0,0
"LAP3",0.312632951559051,0.206228674756326,15.2078572084656,18.5355773058577,6.32904418736005,0,0.978960173271643,23.0993425277448,0,50.4462544458628,0,1.53440965828636,1.1265732006112,19.7488277284815,22.9467774576727,12.9177589138139,0,12.2768316205243,40.5292670117094,24.3702133629028,0.281382575422848,0,0.283178267368334,32.4179328893219,0,43.1978145598358,2.52880189454466,15.5760073291122,0.578699862449408,14.6106192874643,62.3100157340697,26.0323000765485,25.9556999133667,3.67440143529836,46.1252017802271,25.1427281017562,58.9366605713859,4.82376021653033,0,54.2441394634907,59.447548550294,4.93288232611403,16.3850841340866,87.7691831450263,0,32.7057844873471,0,8.65843635201666,0.648895936927384,3.47772364384364,0,51.6999035426056,16.2474675907206,0.995758213152215,0,1.21140900200913,39.8490527320444,0,6.57346286864333,25.0027080049934,11.2099904929939,30.3334889376382,10.0385144097174,0,3.59292537461246,49.610439331082,27.8304807661598,20.2406184480486,36.2130766668688,69.0290136994216,1.85619513879533,24.8437145193424,0,0,16.1556732400988,0,0,0,1.44828928021944,1.83787380900206,0,42.9974653925763,23.72263688853,0.223107512335375,0,30.5599986155447,0,3.36251941597042,0,0.316040241302792,1.22659593999994,13.6411915558757,10.1582357751316,9.66466262790951,17.1234599513573,51.3350158555897,0,8.85535325287045,1.36133697421546,23.8150822674873,0,0,14.8498035882407,73.932718137844,6.54640106293288,0,1.2556892848599,26.4658726751412,1.1634803574207,0.924530580287744,38.3349007200122,11.8257924733908,0,5.89174327959444,14.5422517676639,25.7732015262973,0.599012590341638,46.8533814028641,25.6256352862948,18.2995625842689,0.433014543479771,54.0525038734831,32.8550215896827,86.7660157842098,4.43253478493174,20.287008291263,0,0,1.20278794940465,25.3228573167428,68.106318261214,0.211930642738612,14.6494675342993,0,8.07648392267793,0,0.164645656192221,14.0979270774571,0.221535864974528,0,0,0,0,63.5439157204876,0,29.9587937523877,0.763124408168404,117.352602933373,0.236269909035802,68.5838091505834,8.93944382758557,7.06402807404465,0,0,35.1613528757616,1.49425258902546,9.76596164501435,5.4739339918964,0,0,0.279795473090553,0
"SLC7A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46665123920672,0,0,0,0,0,0,8.6323790086894,0,0,0,0,0,0,0,31.2323347213764,0,0,0,0,0,0,0,0,0,13.0493342306573,0,0,0,0,0,0,0,0,0,0,0,6.36144047841929,0,0,0,0,0,0,0,0,0,0.177753285271102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209035140073799,0,0,0,0,3.08336427232434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87861882209936,0,0,0,0,0,25.9484149436736,27.2767968954497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01310566903501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK2",5.57875405702414,7.08746774324081,0.797693736076706,3.94260797889168,0.774609945390509,4.32945481239213,8.8423220120575,0,0,2.55235643572121,0,2.87327831507001,75.3491971203975,22.3980290466645,4.05840754535235,0,25.334082124354,1.41991729433294,5.44090105888544,0,4.64917517013916,2.73721623219354,0.5614613630116,4.72365673252453,0.251787326436802,8.01736170706426,4.17824130035426,8.82364554975527,1.91232668008644,19.3124477049249,1.67232361485459,12.8193103873635,1.80570932098358,9.30897552383153,16.4780285643783,9.3054874252632,49.4649623468044,10.4750042567799,12.3649155719362,35.6818844172724,27.0959666266701,7.96928993841095,15.0949357301978,7.88445299112015,2.89920471274076,16.7483560863659,6.04974314809479,5.72239943991323,11.579172389435,10.2545925713959,1.84676676076642,10.3405271036125,1.67035932645031,21.8818606291204,1.7233956161517,1.28100103303078,26.8562154930616,12.1630901525781,18.5209957779219,10.2611205474286,4.11596278990182,6.06943840100041,2.68539254198269,4.47704350462417,4.56650096805555,12.0981581643029,2.42930240370639,22.8197853711526,4.24985338917289,0.743022555744322,5.15242432712229,1.84717377139296,0,0,7.78557277109192,0,10.5741321083653,7.83539241143024,10.3694595822708,6.27573841392401,4.05673218584477,19.1816220350722,2.69735865381934,8.55225985384752,0,9.52155610535213,1.41010554451047,11.1115208568605,0.498412917453309,3.1330862056864,14.5919297000517,27.4443178803985,21.1898745159779,26.240207377519,9.08335872292172,19.8208273703401,26.3000096797454,15.509238163891,22.2679144531668,9.67125580478942,0.643379532478844,9.93815831384434,9.64508972966829,8.2604167515722,12.9796375187014,5.61155403384081,16.8744438935381,18.4768457926149,4.99817103080894,10.9984753684309,7.80693325266491,1.2605998893691,13.6809869977583,0.77877591455439,3.28181834940402,23.8862321224896,0.989725272587348,1.30381515892285,5.21110687881295,6.9919958150917,7.44071262857417,3.84124111520666,19.921129546819,9.28582614815207,0.732370532607239,0.321786595630928,0,0.165860207317321,1.907827087898,8.07944346630422,3.60943449640878,4.48210921049427,0.691564202366273,0,3.45386053801596,1.27162807279705,0.761705371191356,18.8418195018682,0.439242141921734,6.24882759652855,6.34040158448791,0,4.66870092133202,5.51648402827478,1.85605288393149,10.1634474001984,27.2350266781107,4.30882566112581,1.56151843146588,23.3763677582263,13.0822624848431,5.68357130060698,0,0.619167722548863,31.979306288118,22.0554673950243,12.0788884538295,6.63253715594572,1.65344134417603,2.85066020335339,5.91737868006422,0
"ALDH3B1",14.2869389876367,3.18073338616401,0,6.93707152570728,49.4100373385386,8.44632930505372,5.77856383594065,0.235627537265302,0,0,0,2.77560797302705,2.1880275458294,2.50693607513508,0.738478402854239,5.50303521695878,7.45761050159258,0.525971261134368,0,0,23.7888456233581,26.2732448197212,8.89686625556942,5.83251737897633,0.217625417824263,1.18309988542732,8.90799027370729,9.53309275268797,0.991720032917753,0.650344694882251,1.08407002817751,0,1.69077453285728,1.04947248963208,2.49240751251645,0,3.87315507349039,0,0,0,1.46372812472589,0.626185048943275,0,0,0,1.11353682818985,0,0,16.3095577023674,0,2.12826908922614,0,0,0,0,0,0,0,0,7.94747017629001,0,0,0,0,0,0,4.64933660522208,0,0,0.128442202739141,0,0,0,0,0.192264133758973,0,1.46231342190421,0,1.65462569442517,0,0,0,0.728558567123047,0.127446715090461,0,7.98030924133237,3.0469644028869,3.14310632782791,0,19.4975746815206,0,0,0.544006410478697,4.17789439352693,0,7.87126851611971,0,0,0,0.327807164846913,0.185362440009374,4.14149746106096,3.07132986617847,0,0,0,0.478195386175141,0,0,0.264061896045058,1.14583704173413,0,0,0,0,0,0,0,1.12601905731066,3.2666693886516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7687281258714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1933448717952,0,0,0,0,0
"GGCT",160.047711882666,11.7306279366717,86.9625031972093,97.9601771994778,36.111762707745,783.390197636035,166.281217909441,50.8365305070973,82.0259471037955,140.155353800366,341.6661034372,104.856931360279,197.05013891442,185.490769403195,242.819513689412,9.85938287134696,181.701049876237,107.658665265894,393.233975985264,59.1852344985022,313.44116001783,80.0773091347172,99.3304958136465,140.355860293027,0,141.65152588335,38.9573253666469,123.273773453674,97.3806559394751,78.7003956325103,21.7395525145503,24.1954291231687,112.78079376884,157.480236217655,193.525778272596,5.95899974108623,307.18106502391,117.592909402348,122.239585896002,125.54445135338,66.1962566332673,203.298210400018,212.997388360765,341.817644284576,580.923151946638,88.2951884823477,7.43827798747055,128.526830224223,84.07340093682,18.3869917521554,0,48.3680259636726,522.847870474724,239.541578543071,245.444896757206,110.251114582351,142.288848298168,59.1532386330334,0,114.693174458844,181.059063961146,117.402362813044,91.202553948857,122.904718966989,220.747459031841,32.0673159107666,112.007812679344,5.64372469158082,40.106301881477,28.7771658790705,92.3855169737926,98.6262019964406,0,43.4994148241221,74.9846976374288,0,65.9805979819775,0,0,55.1745752345578,98.9253322183246,129.082142504994,53.2014724842383,259.631064299932,3.83769750921305,113.817474045819,75.8516698817605,36.2245573787444,60.7701731125068,74.1546769065597,60.3226749421857,107.451578960658,88.0268456840589,58.1934085258496,58.2056838054223,3.20177693394534,60.9515067214066,54.0435776831216,196.814206193949,25.1615091259233,0,7.00056086520767,0,48.1996014421148,6.07125186378831,4.64390491091079,232.133467482272,185.085699699245,5.51505717324653,33.9636179204954,34.3352505047291,0.904127184272614,7.54790352450865,41.8915121726956,52.1195262812543,51.9567293236644,59.627446140645,9.35122030701464,106.285411225795,114.527137801995,4.10509717488023,88.1604523152453,0,92.889170371247,111.882645782276,10.385627112464,11.0726048911612,92.1926224999851,78.6790519239239,3.62171045174736,116.494102848089,41.6900883340943,156.24111194612,109.908627708598,96.835105590294,85.8834668063745,0,51.9758683527763,0,134.005305672516,26.9257587309479,0,4.34062828997146,45.3086671809039,0,74.2441494318399,11.4548302678837,82.4100006220581,25.758894090309,0,0,0.363961589124432,1.96845709702876,19.4284712188959,0,0.590246926472697,73.4058913270973,38.9208018021188,0,0,0,0
"AASS",0,0,0.19901511768727,3.16168035373578,0,0,0,0,0,0.198994572361351,0,0,0,0,0,1.26354814475447,1.14502767170626,0.253037506445678,4.43778535087066,0,0,0,0,0,64.0743079448328,0,10.7716899112901,3.21036744394956,0,0.938615540903897,0,0,0,0,0,0,0,0,40.2287589576916,13.0173775471067,0,0,0,0,0,0,0,13.7131530582946,0,0,0,0,0,3.28376810000534,0,48.7381690139624,0,121.381864175674,0,0,0,0,0,0,0,16.1853381496729,0,0,31.5296159609376,0,134.974214016558,104.714890321786,0,0,0,0.170157135840602,0,0,0,0,0,26.8820010028534,0,0,0,0,0,0,0,0,0,0,0,50.6070972640937,0,0,0,0,0,0,0,0,0,0.34930100333559,0,0,0,0,0,0,0,0,0,0,0,0,5.4323435414668,0,0,0,0,0,69.8296989871742,187.571686868209,48.6029225312255,0,0,68.6910536322568,0,0,0.264856193843877,25.6844151528099,0,0,0,0,0,0,113.969128148865,0,0,0,0,0,3.63835340974678,0,70.4647569398279,0,116.874093535244,0,0,0,0,0,0,0,0,0,2.06256993641824,0,0,0
"MGST1",308.393707564692,396.792563092619,197.104010821253,354.752788617049,330.329287784583,504.179727064004,221.458598444509,233.980361430199,370.03147784062,104.742906142399,205.130161670319,217.399965728086,320.379096297204,227.606845326356,126.110621883012,226.557821606046,274.004783255857,252.169050433972,177.031039910548,103.316820764547,167.198736563892,177.209307471083,229.924767233155,283.353963891324,108.73039736297,149.017427850096,117.49978301135,393.798693073972,202.992783101655,155.31982465946,107.005531461879,113.219648756918,74.2469932492827,139.574574950868,151.57493972835,12.7910249818746,278.605270810532,114.287364991915,228.817708085898,41.3291860078188,263.845336158251,142.625385866498,136.907415072314,187.817628003772,120.092614084971,190.848371876506,51.2252243414687,107.571394021404,235.703599541248,35.7931905488252,235.74263155723,315.446535387197,173.579295893605,245.437335137158,155.780469704724,103.782907180995,294.353833078549,358.60181245667,779.365493839876,165.972765104297,390.228402003816,169.749302677227,245.985205304335,104.932076646819,305.673178332117,187.872688396626,118.609850240318,221.085708423785,112.603617538941,317.430920442875,199.250323208576,333.509127874673,0,28.0115183363399,269.000419099571,126.838605384166,46.0697028157099,195.309514811145,21.6127326816977,123.730819432254,120.32812922918,168.250459464115,233.585277375354,205.894347932736,417.785557623093,470.851653016233,266.656454846068,309.625216947594,171.494841112907,169.784973505055,118.562697614376,168.085380760231,232.5539661827,141.523164304232,170.558673462861,121.233217941302,91.9960718228206,114.878569567732,246.378891688778,198.082810631186,266.607744209128,420.475549486136,109.021241214099,172.326734488951,115.694975984909,122.44231624525,143.946323727582,69.8808711869384,142.7970797207,109.824975205895,224.617360641108,178.545675298481,123.942358540455,331.356512235409,33.0211231252663,109.264748854206,109.401517868961,149.037901633058,91.2568826492447,90.7691509031199,87.0146799184164,167.652052694477,264.21257561816,107.844596918981,94.2586862806996,171.489462254094,192.515988024992,118.735175913287,86.8901127911987,135.93430929192,76.3240436871896,80.1079314106015,246.8713402821,67.0372236870027,70.0913391660929,146.990035609111,42.3831998919225,39.8451717354953,100.418723762819,118.039496604318,222.194610153674,0,120.324749898086,134.650644560444,223.08312305759,7.59159128552636,204.338013991245,124.562512869003,151.691315375543,169.408316438584,24.6881759931189,125.1555303557,25.1405572641557,66.2486993330901,145.564558305009,132.524873829225,69.6981756134879,46.2971394689282,107.476650527973,0.548579670181614,118.571041140399,164.250211401947
"POMT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61821778888552,0.329758032768994,0,0,0,0,0,0,0,0,0,0,0.086108590471564,0,0,1.14106985449817,0,0,0,0,0.581454589594349,0,0,0,0,0,0,0,0,0,0,0,0,0.0941483022777062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76171799040226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0621601844199,0,0.197575712654944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440025295047697,0,0,0,0,0,0,0.784270255564797,0,0,0.745503824314593,0,0.327529985425846,0,0,0,0,0,0,0,0.272934795473418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481019498554059,0,0,0,0,0,0,0,0,0,0,3.45037972277643,0,0,0,0
