"","A1S1","A2S9","A3S17","A4S25","A5S33","A6S41","B1S2","B2S10","B3S18","B4S26","B5S34","B6S42","C1S3","C2S11","C3S19","C4S27","C5S35","C6S43","D1S4","D2S12","D3S20","D4S28","D5S36","D6S44","E1S5","E2S13","E3S21","E4S29","E5S37","E6S45","F1S6","F2S14","F3S22","F4S30","F5S38","F6S46","G1S7","G2S15","G3S23","G4S31","G5S39","G6S47","H1S8","H2S16","H3S24","H4S32","H5S40","H6S48","A7S49","A8S57","A10S73","A11S81","A12S89","B7S50","B8S58","B9S66","B10S74","B11S82","B12S90","C8S59","C9S67","C10S75","C11S83","C12S91","D7S52","D8S60","D10S76","D11S84","D12S92","E7S53","E9S69","E11S85","E12S93","F7S54","F8S62","F9S70","F10S78","F11S86","F12S94","G7S55","G9S71","G10S79","G11S87","G12S95","H7S56","H8S64","H9S72","H11S88"
"GCLC",7.67707073905645,0,0,0,0,7.67174234030637,0.183015520330324,0,26.8095434350223,10.4771952132679,34.8817213068578,0.195252603365637,33.8752739095009,0,0,0,0,5.20370815220128,26.9751242824866,0,4.13145788253416,0,0.121071358587643,0,0.608845615905176,0,0.145127204005921,12.7299468744598,0,6.06363098216214,20.367433090908,0,0,0,0,0,0,0,3.32340830676601,0.131751437511905,6.82115315864506,0,0,7.0584420797837,8.81602537367416,2.55759794035277,0,19.6255285825657,22.3781865530296,2.86630157924202,0,0,0.208944227947353,0,0,0,0,0,0,6.91339077752691,0,0,0,0,81.5427630708058,0,0,0,0,0,0,0,0.227533647242303,0,0,0,0,5.49447390128056,1.11436582203294,0,0,0.334145459616057,21.5891038806354,0,0.124322325654104,112.368407166871,0,0
"LAP3",16.1556732400988,0,0,0,1.44828928021944,1.83787380900206,0,42.9974653925763,23.72263688853,0.223107512335375,0,30.5599986155447,0,3.36251941597042,0,0.316040241302792,1.22659593999994,13.6411915558757,10.1582357751316,9.66466262790951,17.1234599513573,51.3350158555897,0,8.85535325287045,1.36133697421546,23.8150822674873,0,0,14.8498035882407,73.932718137844,6.54640106293288,0,1.2556892848599,26.4658726751412,1.1634803574207,0.924530580287744,38.3349007200122,11.8257924733908,0,5.89174327959444,14.5422517676639,25.7732015262973,0.599012590341638,46.8533814028641,25.6256352862948,18.2995625842689,0.433014543479771,54.0525038734831,32.8550215896827,86.7660157842098,4.43253478493174,20.287008291263,0,0,1.20278794940465,25.3228573167428,68.106318261214,0.211930642738612,14.6494675342993,0,8.07648392267793,0,0.164645656192221,14.0979270774571,0.221535864974528,0,0,0,0,63.5439157204876,0,29.9587937523877,0.763124408168404,117.352602933373,0.236269909035802,68.5838091505834,8.93944382758557,7.06402807404465,0,0,35.1613528757616,1.49425258902546,9.76596164501435,5.4739339918964,0,0,0.279795473090553,0
"SLC7A2",0,0,0,0,0,0,0,0,0,0,0,0.209035140073799,0,0,0,0,3.08336427232434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87861882209936,0,0,0,0,0,25.9484149436736,27.2767968954497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01310566903501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALDH3B1",0.192264133758973,0,1.46231342190421,0,1.65462569442517,0,0,0,0.728558567123047,0.127446715090461,0,7.98030924133237,3.0469644028869,3.14310632782791,0,19.4975746815206,0,0,0.544006410478697,4.17789439352693,0,7.87126851611971,0,0,0,0.327807164846913,0.185362440009374,4.14149746106096,3.07132986617847,0,0,0,0.478195386175141,0,0,0.264061896045058,1.14583704173413,0,0,0,0,0,0,0,1.12601905731066,3.2666693886516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7687281258714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1933448717952,0,0,0,0,0
"GGCT",74.9846976374288,0,65.9805979819775,0,0,55.1745752345578,98.9253322183246,129.082142504994,53.2014724842383,259.631064299932,3.83769750921305,113.817474045819,75.8516698817605,36.2245573787444,60.7701731125068,74.1546769065597,60.3226749421857,107.451578960658,88.0268456840589,58.1934085258496,58.2056838054223,3.20177693394534,60.9515067214066,54.0435776831216,196.814206193949,25.1615091259233,0,7.00056086520767,0,48.1996014421148,6.07125186378831,4.64390491091079,232.133467482272,185.085699699245,5.51505717324653,33.9636179204954,34.3352505047291,0.904127184272614,7.54790352450865,41.8915121726956,52.1195262812543,51.9567293236644,59.627446140645,9.35122030701464,106.285411225795,114.527137801995,4.10509717488023,88.1604523152453,0,92.889170371247,111.882645782276,10.385627112464,11.0726048911612,92.1926224999851,78.6790519239239,3.62171045174736,116.494102848089,41.6900883340943,156.24111194612,109.908627708598,96.835105590294,85.8834668063745,0,51.9758683527763,0,134.005305672516,26.9257587309479,0,4.34062828997146,45.3086671809039,0,74.2441494318399,11.4548302678837,82.4100006220581,25.758894090309,0,0,0.363961589124432,1.96845709702876,19.4284712188959,0,0.590246926472697,73.4058913270973,38.9208018021188,0,0,0,0
"AASS",0,0.170157135840602,0,0,0,0,0,26.8820010028534,0,0,0,0,0,0,0,0,0,0,0,50.6070972640937,0,0,0,0,0,0,0,0,0,0.34930100333559,0,0,0,0,0,0,0,0,0,0,0,0,5.4323435414668,0,0,0,0,0,69.8296989871742,187.571686868209,48.6029225312255,0,0,68.6910536322568,0,0,0.264856193843877,25.6844151528099,0,0,0,0,0,0,113.969128148865,0,0,0,0,0,3.63835340974678,0,70.4647569398279,0,116.874093535244,0,0,0,0,0,0,0,0,0,2.06256993641824,0,0,0
"MGST1",269.000419099571,126.838605384166,46.0697028157099,195.309514811145,21.6127326816977,123.730819432254,120.32812922918,168.250459464115,233.585277375354,205.894347932736,417.785557623093,470.851653016233,266.656454846068,309.625216947594,171.494841112907,169.784973505055,118.562697614376,168.085380760231,232.5539661827,141.523164304232,170.558673462861,121.233217941302,91.9960718228206,114.878569567732,246.378891688778,198.082810631186,266.607744209128,420.475549486136,109.021241214099,172.326734488951,115.694975984909,122.44231624525,143.946323727582,69.8808711869384,142.7970797207,109.824975205895,224.617360641108,178.545675298481,123.942358540455,331.356512235409,33.0211231252663,109.264748854206,109.401517868961,149.037901633058,91.2568826492447,90.7691509031199,87.0146799184164,167.652052694477,264.21257561816,107.844596918981,94.2586862806996,171.489462254094,192.515988024992,118.735175913287,86.8901127911987,135.93430929192,76.3240436871896,80.1079314106015,246.8713402821,67.0372236870027,70.0913391660929,146.990035609111,42.3831998919225,39.8451717354953,100.418723762819,118.039496604318,222.194610153674,0,120.324749898086,134.650644560444,223.08312305759,7.59159128552636,204.338013991245,124.562512869003,151.691315375543,169.408316438584,24.6881759931189,125.1555303557,25.1405572641557,66.2486993330901,145.564558305009,132.524873829225,69.6981756134879,46.2971394689282,107.476650527973,0.548579670181614,118.571041140399,164.250211401947
"MDH1",136.329681012672,4.69654154695913,148.785921684829,177.472469411264,95.9402157992795,67.611841643894,90.6347137832095,163.886907358172,120.153645283979,191.569320541562,63.6625821245262,194.052054191997,138.910231914058,111.991376988585,114.405241613431,120.340397052544,66.057967923023,91.6020565939874,29.8576301271309,77.0725829504522,140.821990915228,226.662964586888,89.9371914999046,88.3277121476569,35.1083076576728,136.025192527283,149.895955961681,27.9039116621957,102.733888403043,9.64112769326871,76.2105009339543,133.26580109505,89.5314009339287,94.86057063225,203.420783913629,77.8412134968319,136.090282164705,59.0288150520654,65.0207518862862,103.903962581846,73.4472919633704,118.42000372814,44.3002222060525,239.047128070221,95.3184158218343,247.680706048424,48.9388871770679,117.488516362708,335.405910175883,200.805965968433,322.262378322375,179.11680142114,111.62583674395,187.501640520381,214.398759778899,94.8800006268372,308.496745289889,99.1846025784376,147.232286308523,240.267527473842,259.100135499641,249.807767206988,80.0522688113674,162.066203606927,69.3999943502019,127.944031244988,170.814471300133,0,243.899443827505,112.124276374888,148.047742125482,179.893154767713,222.275659280218,301.658380408281,54.4812841949809,66.5816003563277,95.898760201939,43.7973433556565,3.14992583562619,78.3454075272278,125.033191602216,18.3235593452824,297.469989484547,61.2430645992157,0,0,90.4098233999876,0
"CHDH",0.164210125069213,0,0.312235393578799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9779708379178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55834923174144,0,0,0,0.433597211230388,0,0,0,0,0,0,0,0,0,0,0,0,0.117364072918191,0,0,0,0,0,0,0,0,0,0,0.0922584058915158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALAS1",29.1359009135029,81.9388467000622,18.1483128881318,9.36768489196393,0.720527724189089,10.0578175654312,24.42997395198,50.2696773528678,128.299968072572,18.9804141359603,0,7.16744897678124,48.2969489524475,11.8621141283929,161.517329132337,27.3581680493699,0.457676028479868,1.79643405683996,0.947577937915838,0.779707307669824,18.8313992782339,6.45203503282108,58.1807076942903,4.95625671265497,0.507951542528145,17.5579773748623,5.81172647083019,2.00385282867376,16.0493940798884,0,7.22171472353614,26.3197339450003,33.7342708901834,46.1766685378936,62.9482558321585,63.4739823871842,13.3058468954264,0.569357694512368,6.73363672406957,197.413475801577,4.76438607433899,0,2.68209304547685,8.09704688157167,39.7174805581609,68.7073574613976,23.2659943590511,3.46984035753762,22.0438767224644,0,0,0,1.7431930216073,0,26.209489302859,1.9548912544301,0,0,0.390436532625359,1.13463876538909,12.054215949265,128.268963245237,0,0,0,6.49133927320455,4.52160217595413,0,0,56.2608955453108,0.59878407313405,0,0,112.441773325089,10.2264063743355,0,3.81205440371917,0,11.776201438317,103.820400578676,45.7382262766692,0,12.2852958807818,19.7438999941019,42.3179273994832,0,2.08798475088277,1.69275072145713
"HSD17B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7167177402327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400752851100054,0,0,0,0,0,0,0,0,2.60957814887399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TYMP",0,0,0,0,0,0,0,0,0,0,0,0,0,1.39399079840614,0.429881141303479,1.80152456826968,0,0,0,0,0,0,0,0,0,0.65423201032399,0,1.22452307795582,1.16756349359142,0,0,0,0,0,0,0,0,0,0.302560289373502,0,0,0,0,0,1.12364492074404,0,0.493662664780401,0,3.09275536214365,0,0,0.740109169951136,0,0,0.548500287770676,0,0,0.241613699628207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175074294527626,0,0,0,0,0,2.34023043968312,0,0,0,0
