"","Module_id","Compound_IN_name","Compound_IN_ID","Compound_OUT_name","Compound_OUT_ID","Supermodule_id"
"M_1","1","Glucose","C00267","G6P","C00668","1"
"M_2","2","G6P","C00668","G3P","C00118","1"
"M_3","3","G3P","C00118","3PD","C00197","1"
"M_4","4","3PD","C00197","Pyruvate","C00022","1"
"M_5","5","Pyruvate","C00022","Acetyl-Coa","C00024","2"
"M_6","6","Pyruvate","C00022","Lactate","C00186","3"
"M_7","7","Acetyl-CoA+Oxaloacetate","C00024+C00036","Citrate","C00158","2"
"M_8","8","Citrate","C00158","2OG","C00026","2"
"M_9","9","2OG","C00026","Succinyl-CoA","C00091","4"
"M_10","10","Succinyl-CoA","C00091","Succinate","C00042","4"
"M_11","11","Succinate","C00042","Fumarate","C00122","4"
"M_12","12","Fumarate","C00122","Malate","C00149","4"
"M_13","13","Malate","C00149","Oxaloacetate","C00036","4"
"M_14","14","3PD","C00197","Serine","C00065","1"
"M_15","15","G3P","C00118","PRPP","C00119","1"
"M_16","16","Glutamine","C00064","Glutamate","C00025","5"
"M_17","17","Glutamate","C00025","GABA","C00334","5"
"M_18","18","GABA","C00334","Succinate","C00042","5"
"M_19","19","Glutamate","C00025","2OG","C00026","5"
"M_20","20","Glucose_in","C00000","Glucose","C00267","1"
"M_21","21","Lactate","C00186","Lactate_OUT","C00000","3"
"M_22","22","glutamate_in","C00000","glutamate","C00025","5"
"M_23","23","Glutamine_in","C00000","Glutamine","C00064","5"
